Unique Key,Created Date,Complaint Type,Incident Zip,Borough,Latitude,Longitude,Location
34000216,08/03/2016 12:00:00 AM,Rodent,10026,MANHATTAN,40.80528008879329,-73.95143094410095,"(40.80528008879329, -73.95143094410095)"
34001156,08/03/2016 12:00:00 AM,Rodent,10065,MANHATTAN,40.768394254482885,-73.96920537142618,"(40.768394254482885, -73.96920537142618)"
34001171,08/03/2016 12:00:00 AM,Rodent,10011,MANHATTAN,40.74340745459531,-73.99855287051238,"(40.74340745459531, -73.99855287051238)"
34002024,08/03/2016 12:00:00 AM,Rodent,10010,MANHATTAN,40.736437041718666,-73.98142744055693,"(40.736437041718666, -73.98142744055693)"
34002236,08/03/2016 12:00:00 AM,Rodent,10032,MANHATTAN,40.843548539871755,-73.9376616825814,"(40.843548539871755, -73.9376616825814)"
34002237,08/03/2016 12:00:00 AM,Rodent,10128,MANHATTAN,40.78639576535683,-73.95685419595479,"(40.78639576535683, -73.95685419595479)"
34002541,08/03/2016 12:00:00 AM,Rodent,10001,MANHATTAN,40.748396632056426,-73.98654537959641,"(40.748396632056426, -73.98654537959641)"
34002554,08/03/2016 12:00:00 AM,Rodent,10018,MANHATTAN,40.75705417309831,-73.99363998863748,"(40.75705417309831, -73.99363998863748)"
34003503,08/03/2016 12:00:00 AM,Rodent,10035,MANHATTAN,40.806403173511015,-73.940745183978,"(40.806403173511015, -73.940745183978)"
34003502,08/03/2016 12:00:00 AM,Rodent,10032,MANHATTAN,40.83636545248621,-73.94259769750111,"(40.83636545248621, -73.94259769750111)"
34004564,08/04/2016 07:40:11 AM,Rodent,10026,MANHATTAN,,,
34004570,08/04/2016 12:00:00 AM,Rodent,10026,MANHATTAN,40.80313447148641,-73.9469246831883,"(40.80313447148641, -73.9469246831883)"
34005549,08/04/2016 12:00:00 AM,Rodent,10031,MANHATTAN,40.82793973895201,-73.94372511632965,"(40.82793973895201, -73.94372511632965)"
34005550,08/04/2016 12:00:00 AM,Rodent,10033,MANHATTAN,40.84752331208235,-73.93847482355658,"(40.84752331208235, -73.93847482355658)"
